event_id,year,method,common_support_segment_id,reference_event_time,reference_magnitude,yearly_scale_q95_minus_q05,event_status,event_unavailable_reason,matching_window_days,magnitude_used_for_matching,matched_candidate_id,reconstructed_event_time,signed_timing_error_days,absolute_timing_error_days,success_5d,success_10d,success_15d,reconstructed_magnitude,signed_magnitude_error,absolute_magnitude_error,normalized_absolute_magnitude_error,magnitude_metric_status,magnitude_metric_reason,reconstruction_status,reconstruction_failure_code,reconstructed_prominence_diagnostic
ERK_2023_E03,2023,linear_interpolation,2023_segment_1,2023-09-01,10.2285,10.662149899999999,matched,,15,False,REC_2023_P006,2023-09-05T00:00:00,4,4,True,True,True,7.1104399999999996,-3.1180600000000007,3.1180600000000007,0.29244195863350231,ok,,ok,,
ERK_2023_E01,2023,timesat_double_logistic,2023_segment_1,2023-04-23,15.9877,10.662149899999999,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,,
ERK_2023_E02,2023,timesat_double_logistic,2023_segment_1,2023-07-31,15.726699999999999,10.662149899999999,matched,,15,False,REC_2023_P001,2023-08-06T00:00:00,6,6,False,True,True,8.8745565414428711,-6.8521434585571281,6.8521434585571281,0.6426605818548029,ok,,ok,,
ERK_2023_E03,2023,timesat_double_logistic,2023_segment_1,2023-09-01,10.2285,10.662149899999999,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,,
ERK_2023_E01,2023,timesat_smoothing_spline,2023_segment_1,2023-04-23,15.9877,10.662149899999999,matched,,15,False,REC_2023_P001,2023-04-22T00:00:00,-1,1,True,True,True,14.537269592285156,-1.450430407714844,1.450430407714844,0.13603545451136867,ok,,ok,,
ERK_2023_E02,2023,timesat_smoothing_spline,2023_segment_1,2023-07-31,15.726699999999999,10.662149899999999,matched,,15,False,REC_2023_P002,2023-07-21T00:00:00,-10,10,False,True,True,10.678133964538574,-5.048566035461425,5.048566035461425,0.47350356943128563,ok,,ok,,
ERK_2023_E03,2023,timesat_smoothing_spline,2023_segment_1,2023-09-01,10.2285,10.662149899999999,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,,
ERK_2024_E01,2024,linear_interpolation,2024_segment_1,2024-07-19,14.2628,16.317387499999999,matched,,15,False,REC_2024_P004,2024-07-21T00:00:00,2,2,True,True,True,11.023099999999999,-3.2397000000000009,3.2397000000000009,0.19854281207699462,ok,,ok,,
ERK_2024_E02,2024,linear_interpolation,2024_segment_1,2024-08-31,35.773899999999998,16.317387499999999,matched,,15,False,REC_2024_P006,2024-09-04T00:00:00,4,4,True,True,True,27.197600000000001,-8.5762999999999963,8.5762999999999963,0.52559271513286043,ok,,ok,,
ERK_2024_E01,2024,timesat_double_logistic,2024_segment_1,2024-07-19,14.2628,16.317387499999999,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,,
ERK_2024_E02,2024,timesat_double_logistic,2024_segment_1,2024-08-31,35.773899999999998,16.317387499999999,matched,,15,False,REC_2024_P001,2024-08-30T00:00:00,-1,1,True,True,True,16.807426452636719,-18.966473547363279,18.966473547363279,1.1623474375026812,ok,,ok,,
ERK_2024_E01,2024,timesat_smoothing_spline,2024_segment_1,2024-07-19,14.2628,16.317387499999999,matched,,15,False,REC_2024_P004,2024-07-18T00:00:00,-1,1,True,True,True,11.871456146240234,-2.391343853759766,2.391343853759766,0.14655188238679545,ok,,ok,,
ERK_2024_E02,2024,timesat_smoothing_spline,2024_segment_1,2024-08-31,35.773899999999998,16.317387499999999,matched,,15,False,REC_2024_P006,2024-09-03T00:00:00,3,3,True,True,True,23.684806823730469,-12.089093176269529,12.089093176269529,0.74087185686247448,ok,,ok,,
ERK_2025_E01,2025,linear_interpolation,2025_segment_1,2025-03-30,40.746499999999997,29.979274999999998,matched,,15,False,REC_2025_P001,2025-03-28T00:00:00,-2,2,True,True,True,40.700299999999999,-0.046199999999998909,0.046199999999998909,0.0015410646188074566,ok,,ok,,
ERK_2025_E02,2025,linear_interpolation,2025_segment_1,2025-07-14,27.281199999999998,29.979274999999998,matched,,15,False,REC_2025_P006,2025-07-16T00:00:00,2,2,True,True,True,5.2949200000000003,-21.986279999999997,21.986279999999997,0.73338264517737661,ok,,ok,,
ERK_2025_E03,2025,linear_interpolation,2025_segment_1,2025-08-28,37.697400000000002,29.979274999999998,matched,,15,False,REC_2025_P009,2025-08-28T00:00:00,0,0,True,True,True,37.697400000000002,0,0,0,ok,,ok,,
ERK_2025_E04,2025,linear_interpolation,2025_segment_1,2025-10-14,83.4709,29.979274999999998,matched,,15,False,REC_2025_P011,2025-10-09T00:00:00,-5,5,True,True,True,14.2097,-69.261200000000002,69.261200000000002,2.3103027007824575,ok,,ok,,
ERK_2025_E01,2025,timesat_double_logistic,2025_segment_1,2025-03-30,40.746499999999997,29.979274999999998,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,,
ERK_2025_E02,2025,timesat_double_logistic,2025_segment_1,2025-07-14,27.281199999999998,29.979274999999998,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,,
ERK_2025_E03,2025,timesat_double_logistic,2025_segment_1,2025-08-28,37.697400000000002,29.979274999999998,matched,,15,False,REC_2025_P001,2025-08-15T00:00:00,-13,13,False,False,True,27.763763427734375,-9.9336365722656268,9.9336365722656268,0.33135012678811038,ok,,ok,,
ERK_2025_E04,2025,timesat_double_logistic,2025_segment_1,2025-10-14,83.4709,29.979274999999998,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,,
ERK_2025_E01,2025,timesat_smoothing_spline,2025_segment_1,2025-03-30,40.746499999999997,29.979274999999998,matched,,15,False,REC_2025_P001,2025-03-26T00:00:00,-4,4,True,True,True,39.082691192626953,-1.6638088073730444,1.6638088073730444,0.055498633885343943,ok,,ok,,
ERK_2025_E02,2025,timesat_smoothing_spline,2025_segment_1,2025-07-14,27.281199999999998,29.979274999999998,matched,,15,False,REC_2025_P005,2025-07-15T00:00:00,1,1,True,True,True,5.0370965003967285,-22.24410349960327,22.24410349960327,0.74198270303745739,ok,,ok,,
ERK_2025_E03,2025,timesat_smoothing_spline,2025_segment_1,2025-08-28,37.697400000000002,29.979274999999998,matched,,15,False,REC_2025_P007,2025-08-26T00:00:00,-2,2,True,True,True,35.560092926025391,-2.1373070739746112,2.1373070739746112,0.07129282058937754,ok,,ok,,
ERK_2025_E04,2025,timesat_smoothing_spline,2025_segment_1,2025-10-14,83.4709,29.979274999999998,matched,,15,False,REC_2025_P008,2025-10-09T00:00:00,-5,5,True,True,True,13.453960418701172,-70.016939581298828,70.016939581298828,2.3355114351931072,ok,,ok,,
